page_id,text,label,Pattern Category,source_dataset
300110,Your account password was changed successfully at 9:42 AM.,0,Not Scam,scam
300036,Refund of Rs 899 has failed. Update your bank details here to receive it.,1,Scam / Phishing,scam
300024,Courier delivery failed. Open the tracking link and pay the reattempt fee now.,1,Scam / Phishing,scam
300001,"2 lakh rupees credited in your account, click the below link to claim.",1,Scam / Phishing,scam
300002,Your SBI account will be suspended today. Verify KYC immediately to avoid a block.,1,Scam / Phishing,scam
300117,Your parcel was delivered at reception at 3:20 PM.,0,Not Scam,scam
300119,Your bill is due on 25 April. No penalty applies before the due date.,0,Not Scam,scam
300034,WhatsApp support: your account violated policy. Verify OTP to continue using the service.,1,Scam / Phishing,scam
300013,Low-interest loan approved. Share PAN and bank details now to receive funds.,1,Scam / Phishing,scam
300011,Security alert: suspicious login detected. Confirm your PIN immediately.,1,Scam / Phishing,scam
300007,Your UPI service is blocked. Verify your mobile number now to restore access.,1,Scam / Phishing,scam
300017,Recharge failed. Click this refund link to collect your money.,1,Scam / Phishing,scam
300009,Customs notice: your parcel is on hold. Pay the clearance fee now to release it.,1,Scam / Phishing,scam
300112,Your insurance claim reference number is 45892. Our team will review it shortly.,0,Not Scam,scam
300032,Bank account update required. Verify your mobile number and CVV now.,1,Scam / Phishing,scam
300033,You have an unclaimed package reward. Click to schedule delivery and pay a holding fee.,1,Scam / Phishing,scam
300037,Airline compensation approved. Claim your payment by opening the secure form now.,1,Scam / Phishing,scam
300101,Your salary of Rs 48500 has been credited to account ending 1234. No action is needed.,0,Not Scam,scam
300029,Government subsidy available for you. Register now and share Aadhaar details.,1,Scam / Phishing,scam
300118,"To close your wallet account, go to Settings and select Close Wallet.",0,Not Scam,scam
300124,KYC verification completed successfully on 14 April.,0,Not Scam,scam
300103,Your bank branch will be closed on Friday for scheduled maintenance.,0,Not Scam,scam
300026,Provident fund withdrawal is ready. Log in through this link to release the money.,1,Scam / Phishing,scam
300113,Contact support if you need help with your subscription renewal.,0,Not Scam,scam
300020,Your debit card will be disabled unless you verify your account today.,1,Scam / Phishing,scam
300030,Tax filing penalty notice. Open the attached link and pay immediately.,1,Scam / Phishing,scam
300122,Reward points balance updated in your account dashboard after your recent purchase.,0,Not Scam,scam
300114,The scholarship office will email approved students next week.,0,Not Scam,scam
300021,Urgent salary bonus pending. Confirm your account number now to receive it.,1,Scam / Phishing,scam
300109,Please visit your home branch with valid ID if you need to update KYC details.,0,Not Scam,scam
300116,Debit card transaction of Rs 250 was completed successfully at City Mart.,0,Not Scam,scam
300014,Medical insurance claim is ready. Pay a small processing fee to release the amount.,1,Scam / Phishing,scam
300031,Your electricity connection will be disconnected in 30 minutes unless you pay now.,1,Scam / Phishing,scam
300023,Loan approved from our finance team. Complete KYC within one hour to get payment.,1,Scam / Phishing,scam
300019,UPI cashback is waiting. Tap the link to credit the amount right away.,1,Scam / Phishing,scam
300010,Netflix payment failed. Update card details immediately to keep your account active.,1,Scam / Phishing,scam
300005,Your debit card has been blocked for unusual activity. Update PAN details now.,1,Scam / Phishing,scam
300123,Loan application received. We will contact shortlisted applicants after verification.,0,Not Scam,scam
300035,Exclusive crypto investment doubles your money in 24 hours. Join now.,1,Scam / Phishing,scam
300039,Prize money has been transferred to a temporary wallet. Verify your identity to unlock it.,1,Scam / Phishing,scam
300018,Winning lottery number confirmed. Fill in your bank form to collect the prize.,1,Scam / Phishing,scam
300102,We received your electricity bill payment successfully. Thank you.,0,Not Scam,scam
300105,Your order has shipped and can be tracked from the Orders page.,0,Not Scam,scam
300038,Your FASTag KYC has expired. Update Aadhaar and PAN today to avoid suspension.,1,Scam / Phishing,scam
300104,You can reset your password from Settings whenever you need to.,0,Not Scam,scam
300040,Final reminder: your SIM card will stop working today. Confirm KYC immediately.,1,Scam / Phishing,scam
300106,OTPs are confidential. Our bank will never ask for them on call or message.,0,Not Scam,scam
300008,Reward points worth Rs 12000 are expiring tonight. Redeem them now.,1,Scam / Phishing,scam
300004,Income tax refund approved. Open the link below to receive payment today.,1,Scam / Phishing,scam
300006,"Dear customer, cashback of Rs 4999 is waiting. Tap the link to credit it instantly.",1,Scam / Phishing,scam
300121,Your return has been approved and the pickup label was sent to your email.,0,Not Scam,scam
