page_id	text	label	Pattern Category
300001	2 lakh rupees credited in your account, click the below link to claim.	1	Scam / Phishing
300002	Your SBI account will be suspended today. Verify KYC immediately to avoid a block.	1	Scam / Phishing
300003	Congratulations, you have won a 25000 rupees cash prize. Claim now using the secure link.	1	Scam / Phishing
300004	Income tax refund approved. Open the link below to receive payment today.	1	Scam / Phishing
300005	Your debit card has been blocked for unusual activity. Update PAN details now.	1	Scam / Phishing
300006	Dear customer, cashback of Rs 4999 is waiting. Tap the link to credit it instantly.	1	Scam / Phishing
300007	Your UPI service is blocked. Verify your mobile number now to restore access.	1	Scam / Phishing
300008	Reward points worth Rs 12000 are expiring tonight. Redeem them now.	1	Scam / Phishing
300009	Customs notice: your parcel is on hold. Pay the clearance fee now to release it.	1	Scam / Phishing
300010	Netflix payment failed. Update card details immediately to keep your account active.	1	Scam / Phishing
300011	Security alert: suspicious login detected. Confirm your PIN immediately.	1	Scam / Phishing
300012	Click here to activate 50000 bonus points before the offer expires.	1	Scam / Phishing
300013	Low-interest loan approved. Share PAN and bank details now to receive funds.	1	Scam / Phishing
300014	Medical insurance claim is ready. Pay a small processing fee to release the amount.	1	Scam / Phishing
300015	You have been selected for a work-from-home job. Submit the joining fee today.	1	Scam / Phishing
300016	RBI notice: update nominee details now or your bank account will be frozen.	1	Scam / Phishing
300017	Recharge failed. Click this refund link to collect your money.	1	Scam / Phishing
300018	Winning lottery number confirmed. Fill in your bank form to collect the prize.	1	Scam / Phishing
300019	UPI cashback is waiting. Tap the link to credit the amount right away.	1	Scam / Phishing
300020	Your debit card will be disabled unless you verify your account today.	1	Scam / Phishing
300021	Urgent salary bonus pending. Confirm your account number now to receive it.	1	Scam / Phishing
300022	Claim your festival gift voucher by entering the OTP on this page.	1	Scam / Phishing
300023	Loan approved from our finance team. Complete KYC within one hour to get payment.	1	Scam / Phishing
300024	Courier delivery failed. Open the tracking link and pay the reattempt fee now.	1	Scam / Phishing
300025	Scholarship grant approved. Verify your details and pay the file charge to continue.	1	Scam / Phishing
300026	Provident fund withdrawal is ready. Log in through this link to release the money.	1	Scam / Phishing
300027	Your business account is frozen. Contact this support number immediately to recover it.	1	Scam / Phishing
300028	Convert your reward points into cash today. Claim instantly before midnight.	1	Scam / Phishing
300029	Government subsidy available for you. Register now and share Aadhaar details.	1	Scam / Phishing
300030	Tax filing penalty notice. Open the attached link and pay immediately.	1	Scam / Phishing
300031	Your electricity connection will be disconnected in 30 minutes unless you pay now.	1	Scam / Phishing
300032	Bank account update required. Verify your mobile number and CVV now.	1	Scam / Phishing
300033	You have an unclaimed package reward. Click to schedule delivery and pay a holding fee.	1	Scam / Phishing
300034	WhatsApp support: your account violated policy. Verify OTP to continue using the service.	1	Scam / Phishing
300035	Exclusive crypto investment doubles your money in 24 hours. Join now.	1	Scam / Phishing
300036	Refund of Rs 899 has failed. Update your bank details here to receive it.	1	Scam / Phishing
300037	Airline compensation approved. Claim your payment by opening the secure form now.	1	Scam / Phishing
300038	Your FASTag KYC has expired. Update Aadhaar and PAN today to avoid suspension.	1	Scam / Phishing
300039	Prize money has been transferred to a temporary wallet. Verify your identity to unlock it.	1	Scam / Phishing
300040	Final reminder: your SIM card will stop working today. Confirm KYC immediately.	1	Scam / Phishing
300101	Your salary of Rs 48500 has been credited to account ending 1234. No action is needed.	0	Not Scam
300102	We received your electricity bill payment successfully. Thank you.	0	Not Scam
300103	Your bank branch will be closed on Friday for scheduled maintenance.	0	Not Scam
300104	You can reset your password from Settings whenever you need to.	0	Not Scam
300105	Your order has shipped and can be tracked from the Orders page.	0	Not Scam
300106	OTPs are confidential. Our bank will never ask for them on call or message.	0	Not Scam
300107	Your monthly statement is ready in the mobile banking app.	0	Not Scam
300108	Your refund has been initiated and will return to the original payment method within 5 to 7 days.	0	Not Scam
300109	Please visit your home branch with valid ID if you need to update KYC details.	0	Not Scam
300110	Your account password was changed successfully at 9:42 AM.	0	Not Scam
300111	We attempted delivery today and will try again on the next business day.	0	Not Scam
300112	Your insurance claim reference number is 45892. Our team will review it shortly.	0	Not Scam
300113	Contact support if you need help with your subscription renewal.	0	Not Scam
300114	The scholarship office will email approved students next week.	0	Not Scam
300115	Your annual tax statement is available for download in the portal.	0	Not Scam
300116	Debit card transaction of Rs 250 was completed successfully at City Mart.	0	Not Scam
300117	Your parcel was delivered at reception at 3:20 PM.	0	Not Scam
300118	To close your wallet account, go to Settings and select Close Wallet.	0	Not Scam
300119	Your bill is due on 25 April. No penalty applies before the due date.	0	Not Scam
300120	Two-factor authentication is enabled on your account.	0	Not Scam
300121	Your return has been approved and the pickup label was sent to your email.	0	Not Scam
300122	Reward points balance updated in your account dashboard after your recent purchase.	0	Not Scam
300123	Loan application received. We will contact shortlisted applicants after verification.	0	Not Scam
300124	KYC verification completed successfully on 14 April.	0	Not Scam
