page_id,text,label,Pattern Category,source_dataset
SYN_NOT_0414,See product specifications. Terms apply. This is a straightforward navigation prompt.,0,Not Dark Pattern,synthetic
SYN_NOT_0402,Open the size guide. Terms apply. Clear information with no pressure language.,0,Not Dark Pattern,synthetic
SYN_SCA_0487,Only 3 available in your selected size. Shop wireless earbuds now. Popular sizes are disappearing fast.,1,Scarcity,synthetic
SYN_NOT_0213,Add item to wishlist. Shop desk lamp now.,0,Not Dark Pattern,synthetic
SYN_MIS_0048,Continue without protection or savings. Terms apply.,1,Misdirection,synthetic
SYN_MIS_0114,Proceed without applying the available coupon. Offer subject to availability.,1,Misdirection,synthetic
SYN_MIS_0387,Continue without savings. Online only. The interface makes opting out feel costly.,1,Misdirection,synthetic
SYN_NOT_0273,Browse related products. Shop wireless earbuds now. Transparent store information.,0,Not Dark Pattern,synthetic
SYN_URG_0423,Hurry — this promotion closes in 4 hours. Terms apply. Don't miss out.,1,Urgency,synthetic
SYN_MIS_0365,Skip the discount and move on. Offer subject to availability. This option makes the lower-value path easier to click by mistake.,1,Misdirection,synthetic
SYN_SOC_0437,One of the most viewed products right now. Available in electronics. Shoppers seem excited about this one.,1,Social Proof,synthetic
SYN_SCA_0396,Almost gone: limited inventory remaining. Available in fashion.,1,Scarcity,synthetic
SYN_MIS_0368,Continue without savings. Shop running shoes now. The interface makes opting out feel costly.,1,Misdirection,synthetic
SYN_URG_0297,Act now to keep your discount active. Shop wireless earbuds now. A quick decision could save you money.,1,Urgency,synthetic
SYN_SOC_0464,Many shoppers are checking out this item today. Available in electronics. It is drawing strong customer interest.,1,Social Proof,synthetic
SYN_MIS_0460,Skip the discount and move on. Available in beauty. The safer choice is visually downplayed here.,1,Misdirection,synthetic
SYN_MIS_0326,"No thanks, I prefer to pay full price. Available in accessories. The negative option is worded to discourage decline.",1,Misdirection,synthetic
SYN_NOT_0125,Add item to wishlist. Offer subject to availability. Clear information with no pressure language.,0,Not Dark Pattern,synthetic
SYN_SCA_0003,Few left at this price. Shop notebook now. This item is close to selling out.,1,Scarcity,synthetic
SYN_SCA_0488,Demand is high and supply is limited. It may not be available later today.,1,Scarcity,synthetic
SYN_SOC_0426,This product is getting a lot of attention right now. Terms apply. Visitors are engaging with this product right now.,1,Social Proof,synthetic
SYN_URG_0094,Your reserved price expires in 45 minutes. Online only.,1,Urgency,synthetic
SYN_MIS_0021,Ignore the bundle and keep fewer benefits. Available in accessories.,1,Misdirection,synthetic
SYN_SCA_0010,"Selling fast — only 15 units available. Offer subject to availability. If you wait, stock may run out.",1,Scarcity,synthetic
SYN_MIS_0194,Dismiss the offer and continue checkout. The reject path is framed in a guilt-inducing way.,1,Misdirection,synthetic
SYN_MIS_0435,"No, I don't want to claim this deal. Available in fashion. The reject path is framed in a guilt-inducing way.",1,Misdirection,synthetic
SYN_URG_0456,Final hours to claim 10% off selected items. Shop travel mug now. Don't miss out.,1,Urgency,synthetic
SYN_SCA_0353,Low stock alert: just 5 items remain. This item is close to selling out.,1,Scarcity,synthetic
SYN_URG_0261,Act now to keep your discount active. Online only.,1,Urgency,synthetic
SYN_SOC_0424,Frequently bought by customers browsing this category. Online only.,1,Social Proof,synthetic
SYN_SOC_0057,Popular choice this week. Online only.,1,Social Proof,synthetic
SYN_SCA_0120,Only 3 available in your selected size. Online only.,1,Scarcity,synthetic
SYN_URG_0090,Complete your order in the next 60 minutes to keep this deal. Shop winter jacket now. Secure yours before it disappears.,1,Urgency,synthetic
SYN_NOT_0451,Open the size guide. Helpful guidance for the customer journey.,0,Not Dark Pattern,synthetic
SYN_NOT_0406,Add item to wishlist. Shop coffee maker now. Transparent store information.,0,Not Dark Pattern,synthetic
SYN_NOT_0073,Add item to wishlist. Online only.,0,Not Dark Pattern,synthetic
SYN_MIS_0186,"No, I don't want to claim this deal. Available in sports. The interface makes opting out feel costly.",1,Misdirection,synthetic
SYN_URG_0426,Final hours to claim 40% off selected items. Online only. A quick decision could save you money.,1,Urgency,synthetic
SYN_URG_0159,Final hours to claim 10% off selected items. Online only. A quick decision could save you money.,1,Urgency,synthetic
SYN_MIS_0027,Proceed without applying the available coupon. Terms apply. The reject path is framed in a guilt-inducing way.,1,Misdirection,synthetic
SYN_NOT_0363,See product specifications. Clear information with no pressure language.,0,Not Dark Pattern,synthetic
SYN_NOT_0039,Filter by color and size. Offer subject to availability. This is a straightforward navigation prompt.,0,Not Dark Pattern,synthetic
