page_id,text,label,Pattern Category,source_dataset
825,Influencer Program,0,Not Dark Pattern,original
51,"Someone in San diego, United States just bought Gemfield Watch 15 days ago",1,Social Proof,original
1468,"Check your orders, in-store quotes & more",0,Not Dark Pattern,original
404,"No Thanks, I Don't Want a Discount",1,Misdirection,original
1451,Remove selected car filter,0,Not Dark Pattern,original
369,I'LL PAY FULL PRICE,1,Misdirection,original
212,RECENTLY VIEWED 2 others viewed this in the last few hours,1,Social Proof,original
729,LightInTheBox 掲載記事,0,Not Dark Pattern,original
1368,Hurry! Only Limited Items Left,1,Scarcity,original
222,"Someone in Joliet, Illinois purchased a Yocan Evolve Plus XL Vaporizer",1,Social Proof,original
583,Discount pending $10 OFF 00:30:00,1,Urgency,original
1425,"To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.",0,Not Dark Pattern,original
1327,Hurry! Only 2 left!,1,Scarcity,original
671,BE QUICK 00:57:33 DON'T MISS OUT,1,Urgency,original
393,"No Thanks, I don't want official software at the best price.",1,Misdirection,original
1536,Plus Size Ripped Jeans,0,Not Dark Pattern,original
999,Act now and save $12.99. Limited time only!,1,Urgency,original
994,new merch coming soon,0,Not Dark Pattern,original
981,* Limited Time Offer *\nFREE\nTLPWR1 Test Leads!,1,Urgency,original
1194,1 LEFT IN THIS SIZE,1,Scarcity,original
1536,Boys Green School Uniforms,0,Not Dark Pattern,original
247, Please try again ,0,Not Dark Pattern,original
1658,Cleaning Brushes & Tools,0,Not Dark Pattern,original
109,"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",1,Social Proof,original
247,Stay on Next.co.uk,0,Not Dark Pattern,original
1492,5 LEFT,1,Scarcity,original
1304,Body Washes,0,Not Dark Pattern,original
638,SRX Remotes,0,Not Dark Pattern,original
1673,BABY BOYSShoesClothingAccessories,0,Not Dark Pattern,original
1759, Optimized Patch System ,0,Not Dark Pattern,original
1138,Only 1 left In Stock,1,Scarcity,original
414,Authenticity Guaranteed,0,Not Dark Pattern,original
259,"By clicking “Accept All Cookies”, you agree to the storing of cookies on your device to enhance site navigation, analyze site usage, and assist in our marketing efforts. ",0,Not Dark Pattern,original
1630, Lawn Mowers ,0,Not Dark Pattern,original
1675,67% offers claimed. Hurry up!,1,Scarcity,original
1737,GlassGuard Warranty Do not fear breaking your glass! Add our GlassGuard warranty policy for just $3.85 and we'll insure this purchase.,1,Misdirection,original
991,FAMILY SHADE PACK | PICK YOUR PACK,0,Not Dark Pattern,original
92,More than 752 users are adding shapewear to their cart. Is your size left?,1,Social Proof,original
300,Adjustable Cuffs With Inner Knitted Cuff,0,Not Dark Pattern,original
1012,FLASH SALE | LIMITED TIME ONLY Shop Now,1,Urgency,original
1653,Only 1 item left in stock,1,Scarcity,original
1343, Home » ,0,Not Dark Pattern,original
907, Bob Ross Oil Brushes ,0,Not Dark Pattern,original
1254,ONLY 5 LEFT,1,Scarcity,original
146,"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",1,Social Proof,original
1330,Lack Of Color,0,Not Dark Pattern,original
103,What treats can I use?,0,Not Dark Pattern,original
1253,ONLY 1 LEFT IN THIS SIZE,1,Scarcity,original
767,Earn FanCash on all purchases!,0,Not Dark Pattern,original
128,on Freight,0,Not Dark Pattern,original
215,7 people looked at this product in the last 24 hours.,1,Social Proof,original
230,Performance Cookies,0,Not Dark Pattern,original
822,BSA FAC Air Rifles,0,Not Dark Pattern,original
206,Over 38 bought,1,Social Proof,original
1051, BACK TO TOP ,0,Not Dark Pattern,original
1536,Shop Dresses by Occasion,0,Not Dark Pattern,original
902,Perhaps you could...,0,Not Dark Pattern,original
1125,ONLY 1 LEFT IN STOCK!,1,Scarcity,original
224,2 people have looked at this in the last couple of hrs.,1,Social Proof,original
323,"No thanks, I despise coupons!",1,Misdirection,original
1639,Limited stock Only 2 left,1,Scarcity,original
300,Pay Securely with Trespass,0,Not Dark Pattern,original
